ID,Score,Memory,Language
2,9.0,1,Spanish
18,8.0,1,Spanish
29,5.0,1,Spanish
10,7.0,1,Spanish
26,9.0,1,Spanish
14,7.0,1,Spanish
22,8.0,1,Spanish
6,10.0,1,Spanish
2,7.0,0,Spanish
18,8.0,0,Spanish
29,4.0,0,Spanish
10,7.0,0,Spanish
26,8.0,0,Spanish
14,9.0,0,Spanish
22,5.0,0,Spanish
6,6.0,0,Spanish
27,10.0,1,French
30,6.0,1,French
23,8.0,1,French
11,7.0,1,French
3,10.0,1,French
19,8.0,1,French
7,8.0,1,French
27,9.0,0,French
30,7.0,0,French
23,10.0,0,French
11,9.0,0,French
3,9.0,0,French
19,8.0,0,French
7,5.0,0,French
4,4.0,1,Japanese
8,4.0,1,Japanese
20,4.0,1,Japanese
28,4.0,1,Japanese
24,10.0,1,Japanese
16,8.0,1,Japanese
12,8.0,1,Japanese
4,5.0,0,Japanese
8,4.0,0,Japanese
20,4.0,0,Japanese
24,10.0,0,Japanese
16,4.0,0,Japanese
12,7.0,0,Japanese
28,5.666666666666667,0,Japanese
25,10.0,1,German
9,10.0,1,German
17,10.0,1,German
15,9.0,1,German
13,7.0,1,German
1,9.0,1,German
5,7.0,1,German
21,10.0,1,German
25,8.0,0,German
9,9.0,0,German
17,9.0,0,German
15,9.0,0,German
13,6.0,0,German
1,6.0,0,German
5,6.0,0,German
21,9.0,0,German
